department_name,crew_code,employee_name,status,employee_num,role,seniority_date,supervisor_name,supervisor_num
Caseflow,EVN,Arline Stubbes,Active,69-0560246,Supervisor,10/02/2005,Anthony Probate,13-6198886
Caseflow,EVN,Doyle Ruit,Active,88-3595253,Supervisor,08/28/2004,Anthony Probate,13-6198886
Caseflow,EVN,Rolland Randerson,Active,00-7843751,Worker,10/08/2008,Cora McCarly,16-7136957
Caseflow,EVN,Edie Mattke,Active,01-0313963,Worker,11/14/2015,Cora McCarly,16-7136957
Caseflow,EVN,Robin Tarbin,Active,14-5274049,Worker,04/17/2015,Doyle Ruit,88-3595253
Caseflow,EVN,Rasia Kulas,Active,20-3006998,Worker,04/18/2010,Doyle Ruit,88-3595253
Caseflow,EVN,Thorndike Berrow,Active,23-2852530,Worker,04/11/2003,Arline Stubbes,69-0560246
Caseflow,EVN,Kristal Gabey,Active,23-4812124,Worker,10/18/2003,Cora McCarly,16-7136957
Caseflow,EVN,Julian Esmond,Active,24-1875156,Worker,08/19/2007,Cora McCarly,16-7136957
Caseflow,EVN,Dora Rubinow,Active,24-8350446,Worker,12/14/2004,Cora McCarly,16-7136957
Caseflow,EVN,Mart Metcalf,Active,25-7105671,Worker,09/22/2015,Cora McCarly,16-7136957
Caseflow,EVN,Waneta Fruin,Active,27-5729975,Worker,12/30/2012,Cora McCarly,16-7136957
Caseflow,EVN,Shelley Buckle,Active,30-7783310,Worker,07/16/2004,Doyle Ruit,88-3595253
Caseflow,EVN,Maighdiln Mournian,Active,33-9864260,Worker,10/17/2002,Arline Stubbes,69-0560246
Caseflow,EVN,Con Clemenzo,Active,34-7261417,Worker,01/13/2012,Doyle Ruit,88-3595253
Caseflow,EVN,Dita Andreas,Active,40-0248648,Worker,10/25/2005,Doyle Ruit,88-3595253
Caseflow,EVN,Alfons Tourner,Active,42-9930290,Worker,03/01/2015,Arline Stubbes,69-0560246
Caseflow,EVN,Byran Simison,Active,43-6505469,Worker,10/30/2012,Doyle Ruit,88-3595253
Caseflow,EVN,Kaylee Tawn,Active,44-0845791,Worker,05/19/2009,Arline Stubbes,69-0560246
Caseflow,EVN,Alisha Casoni,Active,46-2152300,Worker,10/29/2009,Doyle Ruit,88-3595253
Caseflow,EVN,Alano McGillivrie,Active,48-4598968,Worker,03/30/2015,Cora McCarly,16-7136957
Caseflow,EVN,Addia Leaning,Active,50-0760645,Worker,03/11/2017,Doyle Ruit,88-3595253
Caseflow,EVN,Hendrick McDonnell,Active,54-3496245,Worker,03/09/2004,Cora McCarly,16-7136957
Caseflow,EVN,Reggie Mulryan,Active,54-4743558,Worker,12/29/2016,Arline Stubbes,69-0560246
Caseflow,EVN,Zorana McRoberts,Active,54-9873742,Worker,02/03/2010,Doyle Ruit,88-3595253
Caseflow,EVN,Ermanno Zamorrano,Active,56-9492756,Worker,05/26/2009,Doyle Ruit,88-3595253
Caseflow,EVN,Wallis Clemenceau,Active,58-7326001,Worker,03/21/2012,Cora McCarly,16-7136957
Caseflow,EVN,Shaun Oventon,Active,60-2194276,Worker,03/24/2005,Arline Stubbes,69-0560246
Caseflow,EVN,Brion Issacson,Active,77-3223352,Worker,07/29/2010,Cora McCarly,16-7136957
Caseflow,EVN,Roseanna Kluger,Active,78-9978334,Worker,07/02/2004,Doyle Ruit,88-3595253
Caseflow,EVN,Allyson Lebang,Active,84-5298643,Worker,03/23/2016,Arline Stubbes,69-0560246
Caseflow,EVN,Meta Burth,Active,87-9077385,Worker,07/09/2002,Cora McCarly,16-7136957
CrossDock,DAY,Elmira Crisford,Active,28-6461659,Manager,09/23/2016,,
CrossDock,DAY,Federica Dosedale,Active,41-6099551,Supervisor,04/20/2013,Elmira Crisford,28-6461659
CrossDock,DAY,Nadean Reddington,Active,70-2723592,Supervisor,08/15/2010,Elmira Crisford,28-6461659
CrossDock,DAY,Mick D'Hooghe,Active,89-6104900,Supervisor,07/02/2012,Elmira Crisford,28-6461659
CrossDock,DAY,Jerald Claricoats,Active,05-4349879,Worker,11/01/2005,Nadean Reddington,70-2723592
CrossDock,DAY,Meridith Lippitt,Active,07-8243000,Worker,07/08/2003,Mick D'Hooghe,89-6104900
CrossDock,DAY,Gayleen Tolchar,Active,10-4337929,Worker,03/29/2006,Federica Dosedale,41-6099551
CrossDock,DAY,Drusilla Duncklee,Active,12-1190934,Worker,06/21/2008,Nadean Reddington,70-2723592
CrossDock,DAY,Erin McInnery,Active,16-0271607,Worker,08/31/2006,Federica Dosedale,41-6099551
CrossDock,DAY,Colas Brislawn,Active,20-9976526,Worker,11/20/2012,Mick D'Hooghe,89-6104900
CrossDock,DAY,Lesli Tordoff,Active,24-7470819,Worker,02/08/2012,Federica Dosedale,41-6099551
CrossDock,DAY,Gradeigh Twigge,Active,27-3889901,Worker,12/10/2006,Nadean Reddington,70-2723592
CrossDock,DAY,Babbie Gallahue,Active,27-5040744,Worker,10/28/2013,Mick D'Hooghe,89-6104900
CrossDock,DAY,Morton Mortimer,Active,29-0447280,Worker,07/21/2013,Nadean Reddington,70-2723592
CrossDock,DAY,Elita Offer,Active,31-3739545,Worker,03/09/2013,Nadean Reddington,70-2723592
CrossDock,DAY,Deny Mallya,Active,36-6288124,Worker,12/15/2012,Federica Dosedale,41-6099551
CrossDock,DAY,Gardener Heine,Active,46-2956000,Worker,05/31/2004,Federica Dosedale,41-6099551
CrossDock,DAY,Gibby Beatty,Active,46-9207199,Worker,01/05/2011,Mick D'Hooghe,89-6104900
CrossDock,DAY,Barrie Matyushonok,Active,49-7043894,Worker,12/17/2007,Nadean Reddington,70-2723592
CrossDock,DAY,Elnar Marmion,Active,50-7750500,Worker,04/07/2005,Nadean Reddington,70-2723592
CrossDock,DAY,Kattie Eley,Active,51-3107586,Worker,11/01/2013,Mick D'Hooghe,89-6104900
CrossDock,DAY,Wyndham Regglar,Active,51-8065760,Worker,11/15/2009,Mick D'Hooghe,89-6104900
CrossDock,DAY,Fredi Yesenin,Active,57-7529376,Worker,11/21/2007,Federica Dosedale,41-6099551
CrossDock,DAY,Victoria Grelak,Active,62-2260875,Worker,06/16/2007,Nadean Reddington,70-2723592
CrossDock,DAY,Euphemia Begg,Active,62-6138805,Worker,07/05/2003,Mick D'Hooghe,89-6104900
CrossDock,DAY,Aubree Dumbleton,Active,65-1636907,Worker,12/12/2015,Mick D'Hooghe,89-6104900
CrossDock,DAY,Abby Pandey,Active,73-6156621,Worker,08/24/2007,Federica Dosedale,41-6099551
CrossDock,DAY,Ursa Bucknall,Active,74-9992605,Worker,11/27/2009,Nadean Reddington,70-2723592
CrossDock,DAY,Mariam Blodgett,Active,81-1132060,Worker,05/01/2008,Mick D'Hooghe,89-6104900
CrossDock,DAY,Mechelle Bresson,Active,86-4694443,Worker,11/04/2003,Nadean Reddington,70-2723592
CrossDock,DAY,Doroteya Biagioni,Active,87-0764509,Worker,08/04/2003,Mick D'Hooghe,89-6104900
CrossDock,DAY,Donn Akrigg,Active,89-3176202,Worker,03/04/2006,Mick D'Hooghe,89-6104900
CrossDock,DAY,Bernice Tarbet,Active,94-1339857,Worker,06/16/2011,Federica Dosedale,41-6099551
CrossDock,DAY,Clareta Sustins,Active,94-6843306,Worker,02/25/2013,Federica Dosedale,41-6099551
CrossDock,AFT,Shoshana Sawer,Active,56-5028734,Manager,01/12/2010,,
CrossDock,AFT,Meghan Chittey,Active,08-0771304,Supervisor,09/22/2015,Shoshana Sawer,56-5028734
CrossDock,AFT,Danielle Somerbell,Active,84-8493922,Supervisor,04/30/2008,Shoshana Sawer,56-5028734
CrossDock,AFT,Paolo Golly,Active,93-0470018,Supervisor,08/20/2002,Shoshana Sawer,56-5028734
CrossDock,AFT,Carmela Paolozzi,Active,00-6603142,Worker,04/11/2011,Paolo Golly,93-0470018
CrossDock,AFT,Isabel McNirlan,Active,04-6920841,Worker,07/28/2010,Meghan Chittey,08-0771304
CrossDock,AFT,Ashli Rann,Active,05-2901941,Worker,06/28/2004,Paolo Golly,93-0470018
CrossDock,AFT,Caron Weins,Active,06-0200426,Worker,08/21/2011,Danielle Somerbell,84-8493922
CrossDock,AFT,Gabriella Lorne,Active,07-0556501,Worker,03/15/2016,Danielle Somerbell,84-8493922
CrossDock,AFT,Ansel Tetlow,Active,10-8743548,Worker,12/03/2003,Paolo Golly,93-0470018
CrossDock,AFT,Cece Adnam,Active,16-0372348,Worker,03/29/2016,Paolo Golly,93-0470018
CrossDock,AFT,Janey Wombwell,Active,16-3294685,Worker,10/27/2011,Paolo Golly,93-0470018
CrossDock,AFT,Luise Ambrogi,Active,18-1440044,Worker,02/03/2016,Danielle Somerbell,84-8493922
CrossDock,AFT,Ame Swanborrow,Active,24-8975963,Worker,10/03/2002,Paolo Golly,93-0470018
CrossDock,AFT,Jon Yitzhok,Active,26-9790962,Worker,08/25/2007,Danielle Somerbell,84-8493922
CrossDock,AFT,Eldon Vasler,Active,32-0807397,Worker,02/14/2005,Danielle Somerbell,84-8493922
CrossDock,AFT,Marcus Ruckert,Active,42-4336603,Worker,01/10/2012,Paolo Golly,93-0470018
CrossDock,AFT,Margaux Bateson,Active,52-2263173,Worker,09/19/2012,Meghan Chittey,08-0771304
CrossDock,AFT,Sadie Twiname,Active,53-6969584,Worker,08/23/2007,Danielle Somerbell,84-8493922
CrossDock,AFT,Mair Minihane,Active,61-0322642,Worker,02/01/2012,Danielle Somerbell,84-8493922
CrossDock,AFT,Franklin Heardman,Active,61-5010903,Worker,12/27/2015,Meghan Chittey,08-0771304
CrossDock,AFT,Jany Kilbourne,Active,61-6692971,Worker,05/20/2014,Paolo Golly,93-0470018
CrossDock,AFT,Ritchie Binnell,Active,70-7148370,Worker,12/26/2013,Meghan Chittey,08-0771304
CrossDock,AFT,Issi Dagon,Active,70-8608181,Worker,09/25/2005,Danielle Somerbell,84-8493922
CrossDock,AFT,Eugine Gynn,Active,82-1907942,Worker,10/12/2009,Paolo Golly,93-0470018
CrossDock,AFT,Joella Ridel,Active,83-7283958,Worker,06/05/2015,Danielle Somerbell,84-8493922
CrossDock,AFT,Morty Mocher,Active,85-6757933,Worker,10/07/2006,Danielle Somerbell,84-8493922
CrossDock,AFT,Piggy Beverage,Active,89-6040207,Worker,02/26/2007,Meghan Chittey,08-0771304
CrossDock,AFT,Gifford Hayen,Active,90-2476214,Worker,07/29/2005,Meghan Chittey,08-0771304
CrossDock,AFT,Emelina Youde,Active,91-9388215,Worker,01/07/2013,Paolo Golly,93-0470018
CrossDock,AFT,Lowell O'Malley,Active,97-1890330,Worker,07/08/2013,Meghan Chittey,08-0771304
CrossDock,AFT,Bil McTrustram,Active,98-5047462,Worker,08/26/2013,Danielle Somerbell,84-8493922
CrossDock,AFT,Gray Hasslocher,Active,98-9379127,Worker,05/09/2016,Meghan Chittey,08-0771304
CrossDock,AFT,Willie Bazeley,Active,99-8456178,Worker,04/29/2009,Paolo Golly,93-0470018
CrossDock,EVN,Leona Esland,Active,19-5880880,Manager,11/01/2011,,
CrossDock,EVN,Elka Behne,Active,27-6715556,Supervisor,02/14/2003,Leona Esland,19-5880880
CrossDock,EVN,Laughton Bampforth,Active,64-2453955,Supervisor,10/27/2015,Leona Esland,19-5880880
CrossDock,EVN,Johnny Ince,Active,72-9059596,Supervisor,06/13/2012,Leona Esland,19-5880880
CrossDock,EVN,Dougie Donovan,Active,04-9983056,Worker,10/28/2006,Laughton Bampforth,64-2453955
CrossDock,EVN,Lucilia Treppas,Active,11-5262602,Worker,05/29/2002,Elka Behne,27-6715556
CrossDock,EVN,Caty Carlon,Active,15-5188321,Worker,09/12/2011,Elka Behne,27-6715556
CrossDock,EVN,Angel Syrett,Active,18-6400903,Worker,09/13/2005,Laughton Bampforth,64-2453955
CrossDock,EVN,Jaye Birney,Active,18-7641849,Worker,10/28/2007,Laughton Bampforth,64-2453955
CrossDock,EVN,Doti Vivians,Active,20-3003738,Worker,04/28/2004,Elka Behne,27-6715556
CrossDock,EVN,Sigismondo Duker,Active,22-4022317,Worker,11/21/2014,Johnny Ince,72-9059596
CrossDock,EVN,Simone Montier,Active,25-3293678,Worker,02/24/2003,Elka Behne,27-6715556
CrossDock,EVN,Aldrich Espie,Active,28-1890304,Worker,03/29/2010,Laughton Bampforth,64-2453955
CrossDock,EVN,Emelen Ropp,Active,35-5176970,Worker,08/04/2015,Laughton Bampforth,64-2453955
CrossDock,EVN,Travers Pevsner,Active,38-3316405,Worker,05/01/2006,Laughton Bampforth,64-2453955
CrossDock,EVN,Kellina Loughman,Active,45-1406740,Worker,04/25/2008,Elka Behne,27-6715556
CrossDock,EVN,Dimitri Marklow,Active,53-4659931,Worker,12/29/2002,Johnny Ince,72-9059596
CrossDock,EVN,Merilee Heyns,Active,54-0109616,Worker,06/09/2013,Johnny Ince,72-9059596
CrossDock,EVN,Holt Gyngyll,Active,56-0089818,Worker,01/21/2015,Elka Behne,27-6715556
CrossDock,EVN,Carlye McKim,Active,56-4269051,Worker,09/23/2013,Laughton Bampforth,64-2453955
CrossDock,EVN,Maisey Jarret,Active,56-5967375,Worker,08/24/2012,Laughton Bampforth,64-2453955
CrossDock,EVN,Benyamin Noorwood,Active,57-1091986,Worker,12/07/2010,Johnny Ince,72-9059596
CrossDock,EVN,Goddart Lawry,Active,61-2504206,Worker,11/18/2007,Johnny Ince,72-9059596
CrossDock,EVN,Cathie Casemore,Active,61-5979956,Worker,04/18/2017,Elka Behne,27-6715556
CrossDock,EVN,De Hucke,Active,61-7307765,Worker,04/29/2011,Laughton Bampforth,64-2453955
CrossDock,EVN,Marybeth Gath,Active,62-3032096,Worker,03/10/2011,Laughton Bampforth,64-2453955
CrossDock,EVN,Solly Stut,Active,75-4490987,Worker,11/02/2016,Elka Behne,27-6715556
CrossDock,EVN,Horatius Dene,Active,76-6828562,Worker,10/27/2004,Elka Behne,27-6715556
CrossDock,EVN,Edmon Broadway,Active,77-4955171,Worker,06/16/2012,Elka Behne,27-6715556
CrossDock,EVN,Susana Aickin,Active,83-9800099,Worker,09/23/2016,Johnny Ince,72-9059596
CrossDock,EVN,Russ Leele,Active,85-0053833,Worker,12/04/2006,Elka Behne,27-6715556
CrossDock,EVN,Emelina Kydd,Active,86-3795034,Worker,05/10/2015,Johnny Ince,72-9059596
CrossDock,EVN,Sargent Sturge,Active,88-9505796,Worker,06/30/2012,Johnny Ince,72-9059596
CrossDock,EVN,Berri Chatband,Active,93-3450951,Worker,09/29/2003,Elka Behne,27-6715556
Maintenance,DAY,Zarah Murby,Active,03-0811160,Manager,09/20/2015,,
Maintenance,DAY,Shara Oak,Active,00-4515889,Supervisor,10/16/2003,Zarah Murby,03-0811160
Maintenance,DAY,Gallard Cawthery,Active,28-4046595,Supervisor,12/05/2011,Zarah Murby,03-0811160
Maintenance,DAY,Kahlil Shitliff,Active,97-3474009,Supervisor,06/19/2002,Zarah Murby,03-0811160
Maintenance,DAY,Elsinore Gillinghams,Active,01-2450125,Worker,03/31/2017,Kahlil Shitliff,97-3474009
Maintenance,DAY,Melisenda Witherspoon,Active,01-6886130,Worker,05/26/2015,Gallard Cawthery,28-4046595
Maintenance,DAY,Danette McCalum,Active,02-2523213,Worker,04/07/2004,Shara Oak,00-4515889
Maintenance,DAY,Lara Oaker,Active,02-7616062,Worker,11/26/2011,Gallard Cawthery,28-4046595
Maintenance,DAY,Shalom Abrami,Active,03-0818569,Worker,03/11/2009,Kahlil Shitliff,97-3474009
Maintenance,DAY,Piper Adney,Active,03-4414733,Worker,06/07/2006,Kahlil Shitliff,97-3474009
Maintenance,DAY,Paulie Coke,Active,09-5794997,Worker,10/31/2016,Gallard Cawthery,28-4046595
Maintenance,DAY,Creight Congreave,Active,10-1670369,Worker,09/06/2014,Shara Oak,00-4515889
Maintenance,DAY,Danie Donati,Active,12-2700756,Worker,09/22/2010,Gallard Cawthery,28-4046595
Maintenance,DAY,Gwyneth Keep,Active,14-5162411,Worker,12/10/2007,Gallard Cawthery,28-4046595
Maintenance,DAY,Elle Thorp,Active,15-2705235,Worker,09/16/2015,Shara Oak,00-4515889
Maintenance,DAY,Carla Nutt,Active,17-6658052,Worker,03/02/2004,Gallard Cawthery,28-4046595
Maintenance,DAY,Carroll Fawke,Active,20-2025076,Worker,06/07/2004,Shara Oak,00-4515889
Maintenance,DAY,Thedric Laughrey,Active,20-5143537,Worker,11/22/2008,Kahlil Shitliff,97-3474009
Maintenance,DAY,Son Tolman,Active,24-3533095,Worker,09/19/2012,Gallard Cawthery,28-4046595
Maintenance,DAY,Thadeus Marvel,Active,24-5448321,Worker,12/11/2015,Gallard Cawthery,28-4046595
Maintenance,DAY,Maudie Koppeck,Active,29-0095728,Worker,02/15/2003,Shara Oak,00-4515889
Maintenance,DAY,Tine Jone,Active,29-3313699,Worker,10/16/2004,Kahlil Shitliff,97-3474009
Maintenance,DAY,Michael Winckles,Active,29-6754773,Worker,08/24/2014,Shara Oak,00-4515889
Maintenance,DAY,Agretha Olden,Active,34-2502545,Worker,11/06/2013,Kahlil Shitliff,97-3474009
Maintenance,DAY,Rick Ambler,Active,39-5049548,Worker,05/13/2012,Shara Oak,00-4515889
Maintenance,DAY,Margette Bleackley,Active,41-0425418,Worker,04/20/2013,Kahlil Shitliff,97-3474009
Maintenance,DAY,Emmy Ryal,Active,71-7875050,Worker,12/16/2010,Kahlil Shitliff,97-3474009
Maintenance,DAY,Kleon Dorrance,Active,73-4997229,Worker,10/20/2002,Gallard Cawthery,28-4046595
Maintenance,DAY,Oran Daffey,Active,76-1866691,Worker,11/11/2012,Kahlil Shitliff,97-3474009
Maintenance,DAY,Margarita Wodham,Active,78-3214257,Worker,06/26/2004,Shara Oak,00-4515889
Maintenance,DAY,Jandy Biagioni,Active,81-0508322,Worker,04/28/2013,Gallard Cawthery,28-4046595
Maintenance,DAY,Miquela Vanichkov,Active,89-0975814,Worker,07/19/2005,Kahlil Shitliff,97-3474009
Maintenance,DAY,Osgood Scinelli,Active,90-3477152,Worker,12/23/2009,Gallard Cawthery,28-4046595
Maintenance,DAY,Connie Greeson,Active,94-9858768,Worker,04/28/2014,Gallard Cawthery,28-4046595
Maintenance,AFT,Veronica Raymont,Active,54-0860315,Manager,08/12/2011,,
Maintenance,AFT,Rurik Songer,Active,44-4928759,Supervisor,11/08/2014,Veronica Raymont,54-0860315
Maintenance,AFT,Zaccaria Lippi,Active,48-7080392,Supervisor,01/10/2017,Veronica Raymont,54-0860315
Maintenance,AFT,Libbi Leuchars,Active,67-2030493,Supervisor,02/23/2007,Veronica Raymont,54-0860315
Maintenance,AFT,Paddy Hellis,Active,05-0183651,Worker,01/07/2015,Zaccaria Lippi,48-7080392
Maintenance,AFT,Lula Bernat,Active,05-8564225,Worker,07/13/2006,Libbi Leuchars,67-2030493
Maintenance,AFT,Masha Moxted,Active,10-7843845,Worker,08/29/2008,Rurik Songer,44-4928759
Maintenance,AFT,Consuelo Hookes,Active,15-2622726,Worker,07/29/2012,Rurik Songer,44-4928759
Maintenance,AFT,Berk Morffew,Active,16-3241108,Worker,01/07/2012,Zaccaria Lippi,48-7080392
Maintenance,AFT,Mata Kroin,Active,16-3802936,Worker,10/12/2009,Rurik Songer,44-4928759
Maintenance,AFT,Meryl Corking,Active,17-9575599,Worker,12/14/2016,Libbi Leuchars,67-2030493
Maintenance,AFT,Juan Callan,Active,19-8093840,Worker,09/08/2015,Rurik Songer,44-4928759
Maintenance,AFT,Valentine Iacoboni,Active,19-9701381,Worker,04/02/2005,Rurik Songer,44-4928759
Maintenance,AFT,Danita Bembrigg,Active,24-9567369,Worker,09/16/2008,Zaccaria Lippi,48-7080392
Maintenance,AFT,Marcelle Gallihaulk,Active,28-7888364,Worker,01/05/2015,Zaccaria Lippi,48-7080392
Maintenance,AFT,Ermin Gillicuddy,Active,31-9702066,Worker,01/17/2017,Zaccaria Lippi,48-7080392
Maintenance,AFT,Venita Gemson,Active,35-5888537,Worker,04/03/2013,Zaccaria Lippi,48-7080392
Maintenance,AFT,Cosimo Hatfield,Active,35-8518436,Worker,08/02/2014,Libbi Leuchars,67-2030493
Maintenance,AFT,Ado Mullins,Active,39-8914722,Worker,05/16/2003,Libbi Leuchars,67-2030493
Maintenance,AFT,Lock Laydel,Active,40-8199902,Worker,08/22/2007,Rurik Songer,44-4928759
